OrderID,Date,CustomerID,Product,Category,Quantity,UnitPrice
ORD-000101,2022-11-02,CUST-4809,Doll,Toys,3,41.26
ORD-000102,2023-01-22,CUST-3731,Blender,Home & Garden,4,180.1
ORD-000103,2023-04-30,CUST-3124,Dumbbells,Sports,8,145.08
ORD-000104,2022-04-13,CUST-3607,Tablet,Electronics,8,72.25
ORD-000105,2022-03-18,CUST-3847,Vacuum Cleaner,Home & Garden,10,213.96
ORD-000106,2023-07-01,CUST-3114,Plant Pot,Home & Garden,9,30.05
ORD-000107,2022-08-21,CUST-0741,Yoga Mat,Sports,2,72.11
ORD-000108,2022-02-27,CUST-2404,Vacuum Cleaner,Home & Garden,7,60.76
ORD-000109,2022-06-24,CUST-1435,Tablet,Electronics,7,948.58
ORD-000110,2023-04-18,CUST-2081,Tennis Racket,Sports,1,135.85
ORD-000111,2022-03-17,CUST-3619,Lamp,Home & Garden,5,198.9
ORD-000112,2022-07-23,CUST-3152,Yoga Mat,Sports,4,63.39
ORD-000113,2022-01-23,CUST-3243,Coffee Maker,Home & Garden,10,262.22
ORD-000114,2023-05-24,CUST-2345,Hat,Clothing,6,38.0
ORD-000115,2023-11-07,CUST-1121,Laptop,Electronics,5,1193.49
ORD-000116,2022-10-30,CUST-2677,Dumbbells,Sports,4,28.5
ORD-000117,2022-10-07,CUST-1348,Plant Pot,Home & Garden,5,229.04
ORD-000118,2022-05-25,CUST-1849,Water Bottle,Sports,6,22.64
ORD-000119,2023-01-13,CUST-2148,Doll,Toys,6,17.58
ORD-000120,2023-07-29,CUST-2688,Board Game,Toys,2,54.48
ORD-000121,2022-04-30,CUST-1146,Laptop,Electronics,5,1494.09
ORD-000122,2023-02-02,CUST-3717,Lamp,Home & Garden,7,184.46
ORD-000123,2023-05-17,CUST-3344,Coffee Maker,Home & Garden,6,80.84
ORD-000124,2023-12-04,CUST-3010,Lego Set,Toys,1,37.87
ORD-000125,2023-04-11,CUST-0751,Hat,Clothing,1,20.31
ORD-000126,2022-07-30,CUST-0563,Board Game,Toys,10,25.12
ORD-000127,2023-09-03,CUST-0024,Blender,Home & Garden,3,171.26
ORD-000128,2022-05-15,CUST-0122,Blender,Home & Garden,10,110.66
ORD-000129,2023-06-23,CUST-0932,Monitor,Electronics,8,1178.12
ORD-000130,2023-09-22,CUST-0356,Lego Set,Toys,8,55.03
ORD-000131,2023-03-13,CUST-0885,Basketball,Sports,2,135.9
ORD-000132,2023-10-02,CUST-4796,Lego Set,Toys,7,79.62
ORD-000133,2022-04-12,CUST-0938,Board Game,Toys,7,41.61
ORD-000134,2023-03-02,CUST-0779,Plant Pot,Home & Garden,6,206.23
ORD-000135,2022-03-10,CUST-0748,Laptop,Electronics,7,190.02
ORD-000136,2023-08-24,CUST-4601,Lego Set,Toys,2,38.76
ORD-000137,2022-02-22,CUST-2357,Lego Set,Toys,6,17.25
ORD-000138,2022-04-21,CUST-2869,Lego Set,Toys,2,63.38
ORD-000139,2023-09-29,CUST-4561,Tablet,Electronics,5,91.98
ORD-000140,2022-12-26,CUST-0051,Jeans,Clothing,10,84.02
ORD-000141,2022-04-04,CUST-4346,Sneakers,Clothing,7,62.63
ORD-000142,2023-08-05,CUST-4885,Laptop,Electronics,3,278.24
ORD-000143,2023-11-09,CUST-3474,Water Bottle,Sports,8,67.99
ORD-000144,2022-04-24,CUST-2321,Doll,Toys,9,56.7
ORD-000145,2022-01-08,CUST-1675,Blender,Home & Garden,3,233.97
ORD-000146,2023-03-17,CUST-1440,Sneakers,Clothing,9,88.89
ORD-000147,2022-03-15,CUST-3253,Monitor,Electronics,1,716.64
ORD-000148,2023-02-19,CUST-3422,Coffee Maker,Home & Garden,7,25.84
ORD-000149,2023-12-08,CUST-2965,Monitor,Electronics,2,402.81
ORD-000150,2022-11-14,CUST-2782,Jacket,Clothing,3,23.02
ORD-000151,2022-12-24,CUST-2877,Jeans,Clothing,2,30.38
ORD-000152,2023-11-03,CUST-0618,Sneakers,Clothing,8,94.22
ORD-000153,2023-08-02,CUST-2648,Blender,Home & Garden,8,39.12
ORD-000154,2022-02-27,CUST-2884,Action Figure,Toys,5,42.32
ORD-000155,2023-10-23,CUST-0740,Puzzle,Toys,9,36.91
ORD-000156,2022-02-12,CUST-3685,Board Game,Toys,6,52.35
ORD-000157,2022-12-18,CUST-0691,Board Game,Toys,1,27.34
ORD-000158,2022-06-12,CUST-2982,Vacuum Cleaner,Home & Garden,7,134.46
ORD-000159,2023-10-25,CUST-2742,Headphones,Electronics,2,859.05
ORD-000160,2023-09-10,CUST-1232,Coffee Maker,Home & Garden,10,205.81
ORD-000161,2023-11-10,CUST-3211,Hat,Clothing,2,47.51
ORD-000162,2023-11-18,CUST-4313,Monitor,Electronics,9,574.65
ORD-000163,2023-05-13,CUST-1573,Jeans,Clothing,3,23.1
ORD-000164,2023-06-24,CUST-0310,Lamp,Home & Garden,3,187.23
ORD-000165,2023-10-02,CUST-1357,Yoga Mat,Sports,7,61.0
ORD-000166,2023-04-05,CUST-1917,Board Game,Toys,5,77.59
ORD-000167,2023-11-26,CUST-4673,Basketball,Sports,5,118.94
ORD-000168,2022-07-24,CUST-4954,Jacket,Clothing,1,82.32
ORD-000169,2023-06-13,CUST-1022,Coffee Maker,Home & Garden,3,96.38
ORD-000170,2022-08-16,CUST-3696,Coffee Maker,Home & Garden,7,34.91
ORD-000171,2023-01-19,CUST-1840,Headphones,Electronics,2,1266.81
ORD-000172,2022-10-21,CUST-3871,Sneakers,Clothing,8,79.61
ORD-000173,2022-06-03,CUST-4496,Puzzle,Toys,7,17.78
ORD-000174,2023-03-06,,Laptop,Electronics,8,915.27
ORD-000175,2022-05-28,CUST-2387,Yoga Mat,Sports,10,59.39
ORD-000176,2023-06-21,CUST-2955,Tablet,Electronics,9,785.63
ORD-000177,2023-04-27,CUST-0357,Tennis Racket,Sports,5,114.62
ORD-000178,2023-11-04,CUST-0850,Lego Set,Toys,3,13.1
ORD-000179,2023-12-03,CUST-3807,Dumbbells,Sports,3,18.83
ORD-000180,2022-02-14,CUST-1635,Headphones,Electronics,5,797.31
ORD-000181,2023-10-25,CUST-1566,Vacuum Cleaner,Home & Garden,1,262.42
ORD-000182,2023-02-14,CUST-3603,Tennis Racket,Sports,3,79.47
ORD-000183,2022-03-26,CUST-3478,Monitor,Electronics,10,1492.89
ORD-000184,2022-12-02,CUST-2422,Plant Pot,Home & Garden,10,220.95
ORD-000185,2022-12-28,CUST-3564,Coffee Maker,Home & Garden,2,207.93
ORD-000186,2022-06-13,CUST-0256,Hat,Clothing,8,18.65
ORD-000187,2023-01-28,CUST-4647,Tablet,Electronics,3,1034.64
ORD-000188,2023-08-11,CUST-1128,Lego Set,Toys,7,32.01
ORD-000189,2022-07-10,CUST-4089,Doll,Toys,9,18.24
ORD-000190,2023-09-19,CUST-2340,Dumbbells,Sports,2,29.0
ORD-000191,2022-03-31,CUST-2619,Coffee Maker,Home & Garden,9,171.81
ORD-000192,2023-12-19,CUST-1427,Lamp,Home & Garden,4,53.98
ORD-000193,2022-01-27,CUST-2957,Puzzle,Toys,6,42.72
ORD-000194,2022-03-09,CUST-2534,Basketball,Sports,9,67.51
ORD-000195,2022-11-21,CUST-0608,Basketball,Sports,9,58.23
ORD-000196,2022-07-06,CUST-1058,Water Bottle,Sports,1,126.39
ORD-000197,2023-12-28,CUST-1848,Lamp,Home & Garden,5,256.86
ORD-000198,2022-05-09,CUST-2481,Puzzle,Toys,2,45.18
ORD-000199,2023-11-06,CUST-4958,Lamp,Home & Garden,1,251.07
ORD-000200,2023-08-14,CUST-2169,Hat,Clothing,7,79.9
ORD-000201,2023-10-20,CUST-2475,Dumbbells,Sports,7,51.64
ORD-000202,2023-05-11,CUST-3805,Jacket,Clothing,10,30.09
ORD-000203,2022-12-20,CUST-3267,Jacket,Clothing,9,73.97
ORD-000204,2022-09-11,CUST-1155,Laptop,Electronics,5,1420.81
ORD-000205,2022-06-13,CUST-2683,Lego Set,Toys,4,63.42
ORD-000206,2022-11-12,CUST-4075,Laptop,Electronics,7,782.89
ORD-000207,2022-02-21,,Water Bottle,Sports,8,50.0
ORD-000208,2022-09-28,CUST-2997,Tennis Racket,Sports,1,66.08
ORD-000209,2022-03-17,CUST-3165,Doll,Toys,9,29.58
ORD-000210,2022-04-10,CUST-3227,Vacuum Cleaner,Home & Garden,9,282.91
ORD-000211,2023-05-28,CUST-0330,Laptop,Electronics,3,1084.71
ORD-000212,2023-06-12,CUST-1146,Lamp,Home & Garden,6,65.5
ORD-000213,2022-12-11,CUST-4156,Puzzle,Toys,8,59.61
ORD-000214,2023-11-21,CUST-0898,Water Bottle,Sports,5,121.55
ORD-000215,2023-05-01,CUST-2176,Puzzle,Toys,4,60.5
ORD-000216,2023-09-27,CUST-3115,Jeans,Clothing,1,75.12
ORD-000217,2023-03-05,CUST-1241,Dumbbells,Sports,7,80.25
ORD-000218,2022-03-05,CUST-1132,Board Game,Toys,9,32.75
ORD-000219,2022-06-27,CUST-3766,Lego Set,Toys,9,34.8
ORD-000220,2023-12-11,CUST-2166,Doll,Toys,4,77.01
ORD-000221,2022-11-01,CUST-2368,Sneakers,Clothing,6,65.38
ORD-000222,2022-10-22,CUST-0999,Puzzle,Toys,7,72.7
ORD-000223,2022-05-30,CUST-2380,Headphones,Electronics,2,552.23
ORD-000224,2022-07-26,CUST-4413,Lamp,Home & Garden,5,58.44
ORD-000225,2023-11-17,CUST-4351,Jeans,Clothing,1,25.52
ORD-000226,2022-05-21,CUST-0043,Board Game,Toys,7,55.7
ORD-000227,2022-10-22,CUST-2632,Coffee Maker,Home & Garden,2,202.64
ORD-000228,2022-02-08,CUST-1435,Dumbbells,Sports,1,149.6
ORD-000229,2022-10-24,CUST-0307,Headphones,Electronics,10,924.04
ORD-000230,2023-10-19,CUST-4451,Doll,Toys,3,69.57
ORD-000231,2022-06-16,CUST-3760,Blender,Home & Garden,1,226.25
ORD-000232,2022-06-29,CUST-3322,Water Bottle,Sports,6,22.14
ORD-000233,2022-11-28,CUST-2033,Headphones,Electronics,7,391.51
ORD-000234,2023-08-10,CUST-0094,Vacuum Cleaner,Home & Garden,4,37.39
ORD-000235,2023-05-30,CUST-2548,Headphones,Electronics,6,941.21
ORD-000236,2023-09-13,CUST-3061,Water Bottle,Sports,8,116.03
ORD-000237,2023-11-28,CUST-4881,Tablet,Electronics,8,815.85
ORD-000238,2023-07-15,CUST-4141,Hat,Clothing,9,30.73
ORD-000239,2022-07-30,CUST-4778,Yoga Mat,Sports,9,72.37
ORD-000240,2023-08-01,CUST-0473,Doll,Toys,5,60.63
ORD-000241,2023-08-16,CUST-0599,Monitor,Electronics,6,1065.56
ORD-000242,2023-04-29,CUST-0260,Plant Pot,Home & Garden,3,235.31
ORD-000243,2023-03-07,CUST-3068,Basketball,Sports,7,62.59
ORD-000244,2023-11-01,CUST-2849,Smartphone,Electronics,9,619.94
ORD-000245,2022-01-24,CUST-2445,Water Bottle,Sports,7,84.47
ORD-000246,2022-10-10,CUST-1545,Laptop,Electronics,7,941.64
ORD-000247,2022-03-10,CUST-0827,Action Figure,Toys,8,51.84
ORD-000248,2023-02-16,CUST-3596,Hat,Clothing,4,94.21
ORD-000249,2022-08-28,CUST-4720,Lamp,Home & Garden,10,236.31
ORD-000250,2023-11-08,CUST-4271,Sneakers,Clothing,5,43.89
ORD-000251,2022-06-29,CUST-3500,Doll,Toys,1,78.06
ORD-000252,2022-11-23,CUST-3411,Dumbbells,Sports,5,62.7
ORD-000253,2022-11-04,CUST-1183,Yoga Mat,Sports,9,67.77
ORD-000254,2022-09-19,CUST-1666,Coffee Maker,Home & Garden,8,257.2
ORD-000255,2022-10-02,CUST-3090,Puzzle,Toys,1,71.15
ORD-000256,2023-07-27,CUST-1778,Dumbbells,Sports,6,52.45
ORD-000257,2022-05-01,CUST-3924,Hat,Clothing,4,56.65
ORD-000258,2023-04-23,CUST-4372,Vacuum Cleaner,Home & Garden,5,120.7
ORD-000259,2023-04-26,CUST-2624,Jacket,Clothing,6,58.46
ORD-000260,2022-09-25,CUST-4533,Puzzle,Toys,7,30.66
ORD-000261,2022-09-09,CUST-4091,Lego Set,Toys,5,63.44
ORD-000262,2023-04-17,CUST-1379,Blender,Home & Garden,3,221.69
ORD-000263,2023-10-20,CUST-0482,Action Figure,Toys,2,76.16
ORD-000264,2023-10-08,CUST-1896,Smartphone,Electronics,1,367.14
ORD-000265,2023-09-24,CUST-3959,Yoga Mat,Sports,1,84.51
ORD-000266,2023-07-03,CUST-2349,Tablet,Electronics,7,1218.94
ORD-000267,2022-06-02,CUST-1975,Hat,Clothing,9,41.5
ORD-000268,2023-02-20,CUST-3761,Board Game,Toys,4,31.0
ORD-000269,2023-10-28,CUST-0260,Monitor,Electronics,7,596.9
ORD-000270,2022-03-26,CUST-4095,Tennis Racket,Sports,10,146.83
ORD-000271,2022-08-24,CUST-1732,Doll,Toys,5,13.26
ORD-000272,2023-08-01,CUST-0270,Jacket,Clothing,1,115.95
ORD-000273,2023-02-12,CUST-0631,Blender,Home & Garden,10,87.33
ORD-000274,2022-12-06,CUST-3145,T-Shirt,Clothing,9,93.27
ORD-000275,2022-03-19,CUST-2791,Puzzle,Toys,10,37.77
ORD-000276,2023-04-07,CUST-4020,Jacket,Clothing,9,113.82
ORD-000277,2022-03-29,CUST-2420,T-Shirt,Clothing,2,43.14
ORD-000278,2023-02-03,CUST-2595,Coffee Maker,Home & Garden,2,21.45
ORD-000279,2022-05-16,CUST-0716,Sneakers,Clothing,8,73.48
ORD-000280,2023-07-22,,Puzzle,Toys,6,70.46
ORD-000281,2023-07-27,CUST-1989,Puzzle,Toys,3,57.97
ORD-000282,2022-05-30,CUST-0519,Sneakers,Clothing,5,59.22
ORD-000283,2022-09-10,CUST-4062,Puzzle,Toys,-4,42.05
ORD-000284,2023-09-28,CUST-3113,Plant Pot,Home & Garden,6,140.57
ORD-000285,2022-11-04,CUST-2627,Board Game,Toys,8,31.99
ORD-000286,2023-12-13,CUST-4023,Board Game,Toys,6,36.32
ORD-000287,2023-08-01,CUST-1637,Puzzle,Toys,3,57.72
ORD-000288,2023-12-27,CUST-1718,Tennis Racket,Sports,2,124.66
ORD-000289,2023-10-11,CUST-2481,Jacket,Clothing,3,90.1
ORD-000290,2023-05-06,CUST-4770,Water Bottle,Sports,9,139.29
ORD-000291,2023-01-04,CUST-4399,Action Figure,Toys,2,63.83
ORD-000292,2022-02-15,CUST-4614,Tennis Racket,Sports,7,24.83
ORD-000293,2023-07-26,CUST-4756,Board Game,Toys,8,36.19
ORD-000294,2022-06-04,CUST-2826,Monitor,Electronics,2,478.38
ORD-000295,2022-05-26,CUST-2854,Vacuum Cleaner,Home & Garden,8,239.6
ORD-000296,2023-12-15,CUST-3707,Coffee Maker,Home & Garden,5,32.51
ORD-000297,2022-04-22,CUST-1347,Hat,Clothing,3,72.95
ORD-000298,2023-02-19,CUST-1512,Sneakers,Clothing,7,18.07
ORD-000299,2023-02-03,CUST-0037,Jeans,Clothing,5,93.99
ORD-000300,2023-07-04,CUST-1532,Vacuum Cleaner,Home & Garden,4,148.11
ORD-000301,2023-10-17,CUST-2568,Doll,Toys,10,37.48
ORD-000302,2022-06-26,CUST-2437,Puzzle,Toys,2,57.05
ORD-000303,2023-01-18,CUST-1159,Doll,Toys,7,51.75
ORD-000304,2023-07-05,CUST-1420,Board Game,Toys,8,30.22
ORD-000305,2023-01-03,CUST-0079,Dumbbells,Sports,4,124.13
ORD-000306,2023-12-03,CUST-4029,Basketball,Sports,8,33.42
ORD-000307,2022-02-03,CUST-2252,Hat,Clothing,5,32.66
ORD-000308,2023-07-17,CUST-4185,Tablet,Electronics,2,438.44
ORD-000309,2022-02-12,CUST-3616,Board Game,Toys,7,17.17
ORD-000310,2022-02-03,CUST-3685,Vacuum Cleaner,Home & Garden,2,142.94
ORD-000311,2023-08-26,CUST-2873,Doll,Toys,3,53.13
ORD-000312,2023-08-07,CUST-2874,Lego Set,Toys,10,47.71
ORD-000313,2022-10-01,CUST-4215,Smartphone,Electronics,7,1382.21
ORD-000314,2022-05-16,CUST-2046,Jacket,Clothing,4,94.95
ORD-000315,2022-10-03,CUST-3394,Basketball,Sports,2,98.71
ORD-000316,2022-10-12,CUST-3024,Basketball,Sports,6,91.47
ORD-000317,2023-04-15,CUST-2935,Tablet,Electronics,7,365.85
ORD-000318,2022-10-18,CUST-2767,Puzzle,Toys,3,49.63
ORD-000319,2022-02-19,CUST-0377,Monitor,Electronics,1,
ORD-000320,2023-03-15,CUST-1658,Jacket,Clothing,3,106.81
ORD-000321,2022-03-26,CUST-3047,T-Shirt,Clothing,7,80.69
ORD-000322,2022-04-04,CUST-0780,Smartphone,Electronics,8,163.01
ORD-000323,2022-01-09,CUST-2815,Monitor,Electronics,3,742.67
ORD-000324,2022-04-16,CUST-2567,Vacuum Cleaner,Home & Garden,3,127.16
ORD-000325,2023-11-25,CUST-1171,Tablet,Electronics,10,62.29
ORD-000326,2023-10-06,CUST-1241,Water Bottle,Sports,8,130.39
ORD-000327,2023-08-27,CUST-3146,Plant Pot,Home & Garden,6,241.5
ORD-000328,2023-09-08,CUST-4916,Lego Set,Toys,1,69.35
ORD-000329,2023-06-06,CUST-1546,Tennis Racket,Sports,1,119.73
ORD-000330,2022-09-04,,Action Figure,Toys,9,72.21
ORD-000331,2023-02-01,CUST-4657,Tennis Racket,Sports,9,105.61
ORD-000332,2022-01-18,CUST-4812,Laptop,Electronics,5,362.83
ORD-000333,2022-10-21,CUST-4105,Basketball,Sports,7,21.54
ORD-000334,2022-11-14,CUST-0648,Board Game,Toys,3,47.55
ORD-000335,2023-11-29,CUST-0542,Plant Pot,Home & Garden,4,36.21
ORD-000336,2023-09-16,CUST-0451,Blender,Home & Garden,2,23.55
ORD-000337,2022-12-22,CUST-4285,Lego Set,Toys,3,36.03
ORD-000338,2022-05-01,CUST-0241,Plant Pot,Home & Garden,5,166.68
ORD-000339,2023-05-24,CUST-3729,Lego Set,Toys,1,44.97
ORD-000340,2022-04-16,CUST-4702,Smartphone,Electronics,9,53.72
ORD-000341,2023-01-08,CUST-3138,Jeans,Clothing,1,73.05
ORD-000342,2022-11-26,CUST-2034,Tennis Racket,Sports,5,125.64
ORD-000343,2022-02-23,CUST-1470,Hat,Clothing,1,115.18
ORD-000344,2022-11-15,CUST-2682,Tablet,Electronics,8,61.56
ORD-000345,2023-09-30,CUST-1988,Tennis Racket,Sports,10,146.06
ORD-000346,2023-07-14,CUST-2009,T-Shirt,Clothing,7,17.51
ORD-000347,2022-01-10,CUST-2745,Monitor,Electronics,5,200.73
ORD-000348,2022-03-03,CUST-1167,Coffee Maker,Home & Garden,1,277.96
ORD-000349,2023-01-17,CUST-3756,Tablet,Electronics,2,782.87
ORD-000350,2022-03-05,CUST-3564,Jeans,Clothing,5,42.4
ORD-000351,2022-12-01,CUST-2606,Tennis Racket,Sports,4,20.46
ORD-000352,2022-06-09,CUST-0866,Sneakers,Clothing,8,47.97
ORD-000353,2023-04-08,CUST-2526,Tennis Racket,Sports,2,22.66
ORD-000354,2023-09-10,CUST-0331,Jacket,Clothing,3,24.58
ORD-000355,2023-11-25,CUST-2449,Blender,Home & Garden,1,286.59
ORD-000356,2022-04-07,CUST-3786,Smartphone,Electronics,2,67.34
ORD-000357,2023-02-15,CUST-3050,Tablet,Electronics,10,425.29
ORD-000358,2023-10-24,CUST-3633,T-Shirt,Clothing,6,27.87
ORD-000359,2023-03-20,CUST-3236,Yoga Mat,Sports,7,105.65
ORD-000360,2022-10-14,CUST-3654,T-Shirt,Clothing,10,80.01
ORD-000361,2023-07-18,CUST-3925,Laptop,Electronics,5,605.37
ORD-000362,2022-09-13,CUST-4454,Monitor,Electronics,6,745.54
ORD-000363,2022-11-26,CUST-3182,Blender,Home & Garden,1,109.29
ORD-000364,2022-03-01,CUST-3865,Lego Set,Toys,10,79.97
ORD-000365,2022-09-30,CUST-4372,Smartphone,Electronics,10,1277.43
ORD-000366,2022-06-27,CUST-1443,Hat,Clothing,6,99.65
ORD-000367,2023-12-19,CUST-2881,Puzzle,Toys,3,49.42
ORD-000368,2023-05-20,CUST-4442,Blender,Home & Garden,8,30.63
